	p7B24h	p13D24h	p2D24h	p18D24h	p16A24h	p20B24h	p19C24h	p8A24h	p1A24h	p14C24h	p5D24h	p3C24h	p11C24h	p10D24h	p4B24h	p22C24h	p9A24h	p6C24h	o10C24h	o13A24h	o4A24h	o9D24h	o19B24h	o7C24h	o1D24h	o16B24h	o22D24h	o8B24h	o3B24h	o18C24h	o14D24h	o6D24h	o20A24h	o5A24h	o2C24h	o11B24h
LINC01714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC45A1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL096855.1	0	0	0	3	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	2	0	0	1	1	0	0	1	0	1
RF00599	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7P7	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357552.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RERE	4	4	10	52	7	5	15	11	3	7	6	5	14	9	6	24	3	12	4	11	8	15	17	6	4	7	19	14	4	3	30	17	12	10	7	27
MIR6728	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0
ENO1-AS1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1
ENO1	5	2	9	86	14	6	61	10	9	9	10	2	21	14	5	62	11	10	8	5	9	21	37	12	13	12	45	12	1	8	70	8	33	13	9	43
AL139415.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CA6	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0
SLC2A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
GPR157	0	0	0	1	0	0	1	0	1	0	0	0	1	2	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	0	1
LNCTAM34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR34AHG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H6PD	0	0	1	5	2	0	0	1	0	3	0	0	0	1	0	6	0	4	1	0	2	0	4	1	0	0	1	0	0	0	2	0	1	1	1	2
SPSB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0
SLC25A33	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	2	1	0	0	1	0	1	0	1	0
TMEM201	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1
PIK3CD	2	8	5	46	5	5	11	6	6	7	11	4	10	7	5	33	7	10	6	9	16	8	21	6	8	4	18	13	5	3	27	5	16	6	14	18
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL691449.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PIK3CD-AS2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	1
MZT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLSTN1	2	1	0	13	2	2	6	2	2	0	3	1	5	4	1	9	2	0	1	0	3	6	5	6	1	0	9	1	1	3	8	3	5	3	4	5
AL357140.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357140.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
CTNNBIP1	0	1	1	6	1	1	5	3	0	0	1	0	5	2	2	7	0	2	0	0	2	6	4	2	1	0	14	2	0	0	9	1	5	0	1	7
AL357140.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
LZIC	0	2	0	12	1	0	2	0	1	2	4	1	4	3	1	15	5	1	1	1	3	7	8	1	3	4	10	0	2	2	11	1	5	2	5	8
NMNAT1	0	0	0	5	1	1	0	0	0	0	2	0	1	0	0	3	1	1	0	0	1	1	1	1	0	0	3	0	0	0	3	0	2	0	0	0
RN7SKP269	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357140.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL603962.1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP7	3	0	1	16	1	2	12	3	1	2	1	0	4	0	3	14	1	4	2	0	4	6	13	4	1	4	18	2	2	2	18	4	8	1	6	8
UBE4B	3	3	2	25	2	5	8	2	2	4	5	1	8	2	1	24	3	8	3	4	3	11	17	7	7	3	11	6	1	3	17	3	6	8	3	13
AL590639.1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF1B	1	1	2	17	2	2	8	6	1	3	6	1	7	4	1	10	2	5	3	2	0	3	12	1	1	1	7	5	3	1	17	5	7	5	3	16
RNU6-37P	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RN7SL731P	0	0	0	1	0	0	2	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AL139424.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL139424.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
PGD	0	1	2	24	5	7	9	5	0	1	4	1	8	5	0	23	5	3	4	2	4	8	14	2	4	7	16	3	1	3	22	2	6	1	14	18
CENPS-CORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPS	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	1	0	4	0	0	0	0	1	0	1	0	3	0
AL139424.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CORT	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AL354956.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PEX14	1	0	4	5	4	1	1	0	0	2	2	5	3	1	2	13	3	1	0	0	1	4	3	1	2	2	4	1	2	1	8	1	4	2	0	6
DFFA	0	1	0	10	0	0	0	0	3	1	2	1	2	1	1	5	1	2	3	0	2	2	9	1	0	2	9	4	0	1	6	1	3	2	1	7
RN7SL614P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139423.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASZ1	0	2	0	1	0	1	2	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	5	0	0	0	0	1	0	0	1	3
C1orf127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
CFL1P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL109811.4	0	0	2	7	0	0	6	0	3	0	1	2	1	3	2	13	0	1	3	3	1	2	3	1	1	2	6	2	0	2	9	5	6	2	2	7
AL109811.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
MASP2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
SRM	0	3	0	8	0	0	9	1	2	1	1	0	1	3	3	13	2	0	1	0	1	4	9	1	2	4	5	3	0	3	15	1	8	1	1	8
AL109811.1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
AL109811.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXOSC10	1	0	0	2	4	0	0	0	2	0	1	0	0	0	1	4	2	1	0	1	1	1	3	2	1	0	2	5	0	0	4	0	0	3	2	2
MTOR	0	4	3	9	1	1	2	1	0	2	3	0	1	0	0	2	1	1	0	0	2	1	8	1	1	0	4	1	0	0	4	1	2	1	3	2
UBIAD1	1	0	1	3	0	0	2	1	1	2	0	0	2	1	0	1	0	0	0	0	2	4	3	1	1	1	6	0	0	0	4	1	0	0	0	2
UBE2V2P3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DISP3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL031731.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FBXO44	1	0	0	2	0	0	0	2	0	0	0	0	1	1	2	4	1	1	0	0	1	0	3	0	0	1	0	0	0	0	4	1	0	2	0	4
FBXO2	0	0	0	4	0	1	3	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	2	0	1	0	0	0	1	0	4	2	0	1	0	6
FBXO6	1	0	1	13	0	1	2	0	0	1	2	0	2	0	0	4	1	0	0	1	0	0	5	1	0	5	3	1	0	0	8	1	0	0	0	6
MAD2L2	0	1	0	6	0	0	4	1	1	0	0	0	1	0	0	6	1	0	0	2	2	4	2	0	2	1	4	1	1	1	6	1	3	3	1	9
DRAXIN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0
AGTRAP	1	3	8	49	4	2	23	9	5	1	2	1	14	2	3	34	7	9	4	5	5	21	19	9	3	9	31	4	4	8	30	5	14	3	9	34
C1orf167	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0
CLCN6	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	2	0	1	0	1	1	1	1	1	0	0	2	1	0	0	1	0	0	0	0	0
MTHFR	0	1	2	5	2	0	4	0	0	0	1	1	1	2	0	3	0	1	1	0	0	0	3	0	1	0	3	1	1	0	7	0	2	2	1	6
NPPA	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL021155.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL021155.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA2013	0	0	0	10	2	0	8	2	0	0	1	0	4	0	0	4	3	0	1	0	1	5	6	0	0	2	5	1	4	1	7	3	6	2	0	6
PLOD1	0	0	0	1	1	0	1	0	2	0	0	0	2	0	0	2	1	1	0	0	0	1	2	0	0	0	2	0	0	1	3	0	2	0	0	1
MFN2	0	3	4	10	3	0	8	0	1	0	2	1	1	2	3	5	1	2	1	0	4	6	5	2	4	1	6	4	2	1	8	0	1	2	1	7
AL096840.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIIP	2	1	3	12	1	2	5	2	2	0	0	1	2	1	1	10	3	1	2	3	1	7	8	3	3	0	10	1	1	1	10	0	4	3	0	8
RF00019	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	1	4	0	0	1
RNU6-777P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TNFRSF1B	3	7	7	72	4	9	27	13	14	2	14	4	14	7	10	51	3	10	7	11	12	21	33	14	14	9	39	16	5	11	74	6	34	9	22	40
MIR4632	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0
VPS13D	0	3	5	11	3	3	7	7	5	7	1	3	6	3	4	12	5	4	4	0	3	8	6	4	5	1	8	6	3	2	6	1	4	1	6	7
AC243836.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6ATAC18P	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
DHRS3	0	1	0	11	2	1	3	1	3	4	0	0	4	0	5	11	1	3	1	1	2	3	7	1	2	5	4	0	0	4	10	1	2	2	2	10
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AADACL3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PRAMEF6	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	1	0	0	2	0	0	0	0	2
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LRRC38	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PDPN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359771.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRDM2	3	6	2	32	6	5	15	4	17	8	7	3	14	4	0	33	3	7	3	6	5	16	17	16	6	3	16	15	2	5	28	4	12	5	15	28
KAZN	2	0	1	10	0	0	3	0	2	0	1	3	1	3	1	13	2	6	1	0	2	9	13	1	4	2	7	1	1	1	12	2	5	1	6	9
AL357873.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KAZN-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2
TMEM51-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL035405.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHAD1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1
AL031283.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL031283.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
EFHD2	8	12	13	172	13	5	84	22	28	11	17	8	40	20	11	114	14	20	16	6	27	73	100	20	20	41	119	22	8	22	158	12	50	13	21	96
CTRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA2A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CASP9	1	0	0	2	0	0	0	1	1	0	0	0	1	0	0	3	0	0	1	1	0	2	0	0	0	2	3	2	0	0	1	0	0	0	0	3
DNAJC16	0	1	2	7	2	1	3	0	2	2	3	1	4	0	2	3	0	1	1	0	3	3	5	0	5	0	8	0	0	3	5	0	2	0	1	4
AL121992.3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGMAT	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	1
AL121992.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHCHD2P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD24P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDI2	0	1	0	14	0	2	8	2	0	2	2	0	1	0	1	6	1	1	1	0	4	2	5	6	2	2	3	1	0	1	5	1	3	0	0	6
RSC1A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
AL121992.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHM2	0	0	0	13	2	0	4	2	2	0	4	0	2	1	1	7	0	1	1	1	2	3	11	2	4	1	6	0	1	0	11	1	4	3	3	2
SLC25A34	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL450998.2	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	1
FBLIM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL12P14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UQCRHL	0	1	0	3	0	0	1	0	0	0	1	0	2	0	0	2	0	0	0	0	1	1	0	0	0	3	2	0	0	0	0	0	1	1	0	3
AL450998.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEN	0	3	6	23	2	6	3	8	4	3	5	4	5	6	6	20	5	1	0	4	7	6	3	5	5	2	9	5	2	3	16	6	8	7	5	16
FLJ37453	0	0	0	9	0	0	3	1	1	0	1	0	1	1	0	6	0	0	0	0	0	3	4	0	0	1	3	1	0	1	9	0	3	2	0	1
ZBTB17	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	2	2	0	0	0	0	4	0	0	0	1	0	0	1	0	2
SRARP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CLCNKA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
AL355994.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM131C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL451042.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ARHGEF19	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANO7L1	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	1	1	0	4	0	0	0	2	0
CPLANE2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT1XP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO42	0	0	2	18	3	2	3	1	4	3	4	5	4	0	1	5	2	6	0	5	4	4	8	0	2	3	5	2	1	3	5	0	5	4	0	3
SZRD1	1	2	2	25	6	5	14	3	4	3	2	1	7	3	2	26	3	5	2	2	2	13	15	1	1	5	16	7	2	1	25	1	11	3	3	20
RPL22P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA21	0	0	0	9	0	0	1	1	2	2	0	0	3	1	0	3	0	1	1	3	0	5	3	1	2	0	3	0	0	0	8	1	4	1	4	1
NECAP2	1	0	1	16	2	5	9	4	1	1	2	2	4	4	1	12	3	1	3	0	1	5	9	5	1	3	12	4	1	3	19	3	7	3	2	15
LINC01772	1	0	0	2	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CROCCP3	0	2	0	3	0	0	0	3	0	0	1	1	1	0	1	5	0	0	2	3	0	2	0	3	0	1	4	0	1	0	6	1	1	0	1	1
AL137802.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL137802.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF1	0	0	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	0	0	0	2	1	1	1	0	1	1	0	0	0	1	0	1	0	1	3
AL137798.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL137798.3	0	0	0	6	0	2	3	1	2	0	0	0	0	1	2	2	1	1	0	1	3	1	1	0	0	0	0	1	0	0	2	1	0	2	2	1
MST1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CROCCP2	1	0	0	20	0	2	8	0	6	0	2	1	2	4	2	7	4	2	3	3	2	7	5	1	0	2	3	1	0	0	5	1	1	4	2	5
EIF1AXP1	0	0	1	3	1	3	0	0	2	0	3	0	1	0	1	3	0	0	0	0	1	3	3	0	2	0	1	1	0	0	1	0	3	0	0	1
AL021920.2	0	0	1	2	1	2	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	3	0	1	1	0	1
ESPNP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CROCC	0	0	0	3	1	0	5	2	0	0	1	0	0	0	0	2	2	0	1	1	0	1	2	0	1	0	1	0	0	1	2	0	1	0	1	2
CROCCP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BX284668.4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
BX284668.5	1	0	0	22	1	1	5	3	3	0	2	0	4	1	2	11	2	3	3	1	2	7	9	3	1	1	8	2	2	2	19	0	8	0	3	22
AL049569.1	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	3	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0
MFAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
