	p7B24h	p13D24h	p2D24h	p18D24h	p16A24h	p20B24h	p19C24h	p8A24h	p1A24h	p14C24h	p5D24h	p3C24h	p11C24h	p10D24h	p4B24h	p22C24h	p9A24h	p6C24h	o10C24h	o13A24h	o4A24h	o9D24h	o19B24h	o7C24h	o1D24h	o16B24h	o22D24h	o8B24h	o3B24h	o18C24h	o14D24h	o6D24h	o20A24h	o5A24h	o2C24h	o11B24h
MED11	0	0	2	15	2	0	7	0	2	1	2	1	5	1	1	9	1	2	1	0	1	2	5	2	3	4	5	0	1	1	13	1	6	2	1	5
AC091153.4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	1	0	1	0	1	0
CXCL16	1	0	1	16	1	0	4	1	0	0	3	2	2	1	0	14	1	0	0	0	1	6	8	3	1	4	14	3	0	2	13	0	9	6	3	7
ZMYND15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
VMO1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	0	0	1	0	2	0	0	1
PSMB6	3	6	6	128	8	7	63	7	13	6	7	6	35	21	9	85	12	12	8	5	11	45	48	16	11	29	81	12	13	22	92	13	52	8	22	72
AC233723.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
PLD2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
MINK1	1	1	0	8	0	1	2	0	2	0	1	0	0	0	1	5	0	2	0	0	2	0	2	1	0	2	2	1	0	1	4	0	1	1	0	1
ATP6V0CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0
RN7SL784P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GP1BA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	1	1	0	0	0	1	0	0	0	0	1
CHRNE	1	0	0	2	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	2	4	0	0	0	2	0	0	0	0	2
RNF167	1	4	0	23	3	0	15	2	3	0	3	1	6	5	3	13	3	2	1	1	2	9	14	6	4	5	21	2	0	5	18	3	9	3	3	15
SLC25A11	4	0	1	19	3	1	15	0	3	1	3	1	5	5	2	13	5	0	1	0	3	7	15	3	1	5	11	4	1	0	13	1	5	3	4	15
ENO3	7	3	2	65	7	5	37	13	6	9	9	8	21	8	7	60	7	6	10	5	11	39	40	21	4	17	52	12	8	8	60	4	34	8	8	37
PFN1	20	30	39	874	66	65	397	63	97	54	72	32	180	76	39	634	66	69	70	37	72	329	469	127	81	198	600	93	47	90	737	72	335	62	86	481
SPAG7	0	2	1	11	3	0	4	1	3	0	1	0	2	2	1	12	0	1	1	0	1	3	12	7	3	3	10	1	0	1	9	2	7	2	1	4
AC004771.4	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2
MIR6864	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AC004771.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CAMTA2	0	0	1	3	1	1	4	3	2	0	0	0	1	2	0	6	0	0	1	0	0	1	6	0	0	1	3	0	0	1	5	0	4	0	1	4
AC004771.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INCA1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF1C	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	3	0	0	0	1	0	0	2	0	2	1	1	0	0	1	1	3	0	1	0	1
AC004771.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
SLC52A1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZFP3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2
AC012146.1	0	0	0	2	0	2	2	0	1	0	0	0	0	0	1	2	0	1	0	0	1	2	2	0	1	0	4	0	2	0	2	0	0	0	1	0
USP6	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ZNF232	1	0	0	4	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	2
ZNF594	0	0	1	3	0	0	1	1	0	1	1	1	1	1	0	0	1	2	1	0	0	1	0	0	3	0	1	1	0	0	1	0	0	0	0	1
AC087500.1	0	1	1	2	1	0	2	0	0	0	0	1	1	0	0	3	0	0	1	0	1	2	2	1	1	0	3	1	0	0	3	0	1	0	2	3
SCIMP	1	1	0	11	0	1	7	1	2	0	0	0	5	1	1	10	1	2	2	1	2	5	6	1	1	2	5	1	1	0	6	1	4	4	0	9
RABEP1	1	5	4	18	4	4	14	7	5	6	5	2	10	3	4	23	6	5	4	7	12	12	5	11	7	3	16	2	8	2	28	4	8	8	10	9
AC015727.1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0
RPAIN	0	0	0	20	5	1	13	7	4	0	1	2	8	5	0	13	2	1	1	2	4	6	9	2	1	4	11	3	2	3	21	2	11	3	3	13
NUP88	0	1	0	7	1	1	6	1	1	1	1	2	5	5	0	9	4	1	2	0	1	3	7	1	2	1	5	1	1	1	9	1	4	4	1	13
AC004148.2	2	1	1	19	4	2	10	4	4	1	3	2	5	2	3	9	1	1	3	1	2	10	18	5	2	7	15	5	2	2	20	5	13	3	3	17
C1QBP	0	0	1	11	2	2	7	2	0	2	0	1	3	2	2	13	1	0	0	1	0	6	3	2	3	2	5	1	1	0	9	0	5	1	2	10
DHX33	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIS12	0	0	2	4	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	2	0	0	1	3	0	1	0	0	0	1	0	2	1
